Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
P37235	P37235;H7BZC1;E9PC71	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	1.06564e+06	942535	1.02221e+06	1.42103e+06	1.39849e+06	1.30953e+06	1.4764e+06	1.19109e+06	1.44884e+06	1.38517e+06	1.27874e+06	1.39466e+06
P37268	P37268;A0A1W2PQ47;E9PNM1	FDFT_HUMAN	FDFT1	Squalene synthase	285113	87719.8	243058	120782	89553.3	112509	111283	283806	76526.1	132785	112837	326523
P37802	P37802;X6RJP6	TAGL2_HUMAN	TAGLN2	Transgelin-2	2.08415e+07	2.2588e+07	2.07219e+07	2.44991e+07	2.52365e+07	2.48834e+07	2.47974e+07	2.1859e+07	2.33946e+07	2.11911e+07	2.33681e+07	1.99194e+07
P37837	P37837;F2Z393	TALDO_HUMAN	TALDO1	Transaldolase	1.0848e+06	1.36404e+06	991845	1.40318e+06	1.19056e+06	1.41908e+06	1.35829e+06	1.06494e+06	1.41838e+06	1.20206e+06	1.4295e+06	1.24185e+06
P38117	P38117	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	1.41889e+06	1.07303e+06	1.16916e+06	1.00903e+06	1.10443e+06	1.13127e+06	1.13032e+06	773146	1.09398e+06	1.03877e+06	1.02514e+06	749512
P38159	Q96E39;P38159;H3BNC1;H3BR27;H0Y6E7;H3BT71;A0A1B0GUK8	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	5.264e+06	3.85817e+06	3.20341e+06	4.5912e+06	4.89991e+06	5.06211e+06	5.01268e+06	5.69723e+06	5.20169e+06	5.10715e+06	5.35592e+06	4.99346e+06
P38432	P38432	COIL_HUMAN	COIL	Coilin	66267.7	41066.9	64388	42765.8	34238.7	40837	60083.7	69790.1	34093.2		37196.6	65682
P38435	P38435	VKGC_HUMAN	GGCX	Vitamin K-dependent gamma-carboxylase	807269	698517	693959	646852	644514	620754	610469	639909	679987	680983	689050	682814
P38571	P38571;A0A0A0MT32	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	289021	146334	278215	74346.1	89528.3	70468.5	54073.8	202186	72133.1	60236.7	79721.3	80599.5
P38606	P38606	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	3.01291e+06	4.26304e+06	2.9148e+06	4.55937e+06	4.6372e+06	4.30395e+06	4.7366e+06	3.14491e+06	4.90919e+06	4.87814e+06	4.80845e+06	3.29881e+06
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	1.13555e+07	1.22444e+07	1.10575e+07	1.35671e+07	1.36277e+07	1.34669e+07	1.33294e+07	1.20989e+07	1.23682e+07	1.36427e+07	1.32983e+07	1.19869e+07
P38919	P38919;I3L3H2	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	967368	814957	1.0676e+06	880756	867516	859817	815603	905155	855730	806087	799697	1.08503e+06
P38935	P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	62571.2	83330.2	92408.4		69880	86592.2	85176	76197	65821.3	66456.1	65291.4	
P39019	P39019;M0R140;M0R2L9;M0QYF7	RS19_HUMAN	RPS19	40S ribosomal protein S19	6.90545e+06	6.0096e+06	6.70701e+06	5.64351e+06	5.86358e+06	5.61866e+06	5.51535e+06	6.15084e+06	5.37567e+06	5.79091e+06	5.91597e+06	6.27119e+06
P39023	P39023;H7C3M2;H7C422;B5MCW2;G5E9G0	RL3_HUMAN	RPL3	60S ribosomal protein L3	138514	151269	153933	141817	143641	72536.9	132448	144928	128544	109317	133850	155440
P39060	P39060;H7BXV5	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	975170	1.3807e+06	575717	1.2219e+06	1.11119e+06	997912	1.17595e+06	832568	1.38086e+06	1.24598e+06	1.26095e+06	854330
P39656	P39656;A0A0C4DGS1	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	5.18543e+06	4.56313e+06	2.78486e+06	4.49733e+06	4.17447e+06	4.25902e+06	3.92006e+06	3.90571e+06	4.37765e+06	4.54525e+06	4.50192e+06	3.94516e+06
P39687	P39687;H0YN26;H7BZ09	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.70868e+06	2.31562e+06	2.14474e+06	2.11935e+06	1.63274e+06	1.90938e+06	2.19356e+06	1.49746e+06	1.76412e+06	1.65729e+06	1.71249e+06	1.59773e+06
P39748	P39748;F5H1Y3	FEN1_HUMAN	FEN1	Flap endonuclease 1	400805	153825	444007	78546.5	163277	149730	171032	311417	129843	113467	131385	332194
P39880	P39880;O14529;A0A2R8YDI1;A0A2R8Y852	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	104846	47408.8	79334.7	209628	172863	284666	254830	274230	188213	253250	257239	306595
P40121	P40121;B8ZZL6;E7ENU9	CAPG_HUMAN	CAPG	Macrophage-capping protein	4.40424e+06	5.64606e+06	3.96556e+06	5.70816e+06	6.38591e+06	6.51964e+06	6.37756e+06	3.90022e+06	6.10738e+06	6.40582e+06	6.71686e+06	4.70131e+06
P40123	P40123;E9PDI2;F8WDB9	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	478036	480432	349902	509160	500123	481436	454328	479032	522303	495874	455850	480735
P40189	P40189	IL6RB_HUMAN	IL6ST	Interleukin-6 receptor subunit beta				18958.7	24639.9		13140.4	10122.4	23551.8	22801.9	12356.2	10177
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	729077	657343	754213	649207	680561	541577	638898	655536	605938	617380	650867	688940
P40227	P40227	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	1.45998e+06	1.56837e+06	1.97501e+06	2.04824e+06	1.70365e+06	1.68283e+06	1.76015e+06	1.78359e+06	1.75761e+06	1.97745e+06	1.70168e+06	1.47418e+06
P40261	P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	7.04018e+06	6.7423e+06	1.37093e+07	1.04462e+07	1.13057e+07	1.17284e+07	1.17774e+07	1.63682e+07	1.1901e+07	1.49178e+07	1.05189e+07	7.38873e+06
P40306	P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10			82580.8	97211								
P40425	P40425	PBX2_HUMAN	PBX2	Pre-B-cell leukemia transcription factor 2	94113.1	56713	35636.9	47105.7	47406.5	44222.6	67178.4	89895.9	79277	54556.7	52661.4	88568.6
P40429	P40429;Q6NVV1;M0QYS1;Q8J015	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	5.49653e+06	5.01598e+06	5.03072e+06	5.71855e+06	5.75006e+06	5.77644e+06	5.45317e+06	5.54682e+06	4.947e+06	5.27585e+06	5.67366e+06	5.10086e+06
P40616	P40616;F8VYN9;B4DZG7	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	3.61433e+06	1.75874e+06	2.41397e+06	3.13416e+06	2.71021e+06	2.79449e+06	2.65995e+06	2.44995e+06	2.88793e+06	2.64199e+06	2.82007e+06	2.74577e+06
P40692	P40692;H0Y818	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1	440156	265431	352813	243656	231790	260005	259904	391693	281741	249209	280326	413677
P40763	P40763;G8JLH9	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	725289	782758	697497	773208	815474	742477	802679	734544	922841	939542	814392	685874
P40818	P40818;A0A075B720	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	815914	690156	785254	652740	694818	675401	615552	729907	732719	687806	703574	773648
P40855	P40855;Q5QNY5;H0YJ60	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	149029	176487	105329	158490	176218	149931	179642	166688	170092	145634	145753	174101
P40925	P40925;B9A041;C9JF79;B8ZZ51	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	4.41591e+06	4.68587e+06	5.29614e+06	5.24995e+06	5.09038e+06	7.35713e+06	4.88339e+06	4.20502e+06	5.9975e+06	6.5867e+06	6.28764e+06	6.22819e+06
P40926	P40926;G3XAL0	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2.01522e+07	2.86624e+07	2.01855e+07	2.58967e+07	2.62536e+07	2.72219e+07	2.55284e+07	2.05646e+07	2.49604e+07	2.70797e+07	2.53173e+07	1.82699e+07
P40937	P40937	RFC5_HUMAN	RFC5	Replication factor C subunit 5	12838.5		471956	157337	171330	176219	192598	413682	171868	149694	141956	401129
P40938	P40938	RFC3_HUMAN	RFC3	Replication factor C subunit 3	1.43747e+06	435380	1.20674e+06	511768	556007	463673	559129	1.30035e+06	342944	468198	556984	1.38933e+06
P40939	P40939;H0YFD6;A0A2R8Y688;A0A2R8YG21	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	2.7362e+06	4.89545e+06	3.00698e+06	4.7881e+06	4.72417e+06	4.97331e+06	4.56509e+06	2.65863e+06	4.74813e+06	4.86182e+06	4.67132e+06	2.69291e+06
P41091	P41091	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	2.24106e+06	1.80221e+06	1.75737e+06	2.15873e+06	2.07978e+06	2.2016e+06	1.98988e+06	2.17284e+06	1.93448e+06	1.99689e+06	1.89485e+06	2.04312e+06
P41208	P41208	CETN2_HUMAN	CETN2	Centrin-2	193226	265673	225876	254187	258758	251161	247712	224152	237080	273516	248388	252361
P41212	P41212	ETV6_HUMAN	ETV6	Transcription factor ETV6			26028.4	40686.6		34190	20210.5	47165.6	38064.6	32193.9	33097.4	57012.9
P41214	P41214;Q5SY38	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	84378		87603.2		80813.6	68304.7	78107.8	121072		75264.6		78442.1
P41219	P41219;F8W835	PERI_HUMAN	PRPH	Peripherin	2.59313e+06	2.77634e+06	1.41576e+06	2.90347e+06	2.82312e+06	3.20614e+06	3.39805e+06	2.83334e+06	3.11469e+06		3.01814e+06	3.08137e+06
P41223	P41223	BUD31_HUMAN	BUD31	Protein BUD31 homolog	167895	154474	186322	117074				177127	153616	139758		204694
P41226	P41226	UBA7_HUMAN	UBA7	Ubiquitin-like modifier-activating enzyme 7	175490	224698	223494	235425	246104	232650	237639	233915	236934	235295	233522	207190
P41227	Q9BSU3;P41227;C9JW55;A8MWP7;H0Y8T0;F8W808;C9JN83	NAA10_HUMAN	NAA10	N-alpha-acetyltransferase 10	492104	377662	281280	364504	400197	367020	327663	525172	383056	412755	378485	541333
P41229	P41229	KDM5C_HUMAN	KDM5C	Lysine-specific demethylase 5C	57750.8	38652.3	34183.9	56308.2	55927.2		68141.1	64077.4	62737.1	63216.4	21377.8	70764.7
P41236;Q6NXS1	P41236;Q6NXS1;E7EUI7;E7EMN6	IPP2B_HUMAN;IPP2_HUMAN	PPP1R2;PPP1R2B	Protein phosphatase inhibitor 2	542042	990720	610684	689558	659656	833052	693153	530264	773331	615310	656813	674776
P41240	P41240	CSK_HUMAN	CSK	Tyrosine-protein kinase CSK	1.87208e+06	1.77812e+06	1.0318e+06	2.03886e+06	1.94661e+06	1.93727e+06	2.1226e+06	1.63663e+06	1.953e+06	1.93851e+06	2.20452e+06	1.94084e+06
P41247	P41247;C9IZF6	PLPL4_HUMAN	PNPLA4	Patatin-like phospholipase domain-containing protein 4		27827.9	26491.6	56052.6	51949.1	57418.8	43833.5	42592.1	49025.8	43851.5	47898.8	44012.2
P41250	P41250	GARS_HUMAN	GARS1	Glycine--tRNA ligase	2.15762e+06	1.73652e+06	2.19559e+06	2.20472e+06	1.97847e+06	2.14105e+06	2.24789e+06	1.76403e+06	1.85036e+06	1.63498e+06	1.76078e+06	1.87257e+06
P41252	P41252;J3KR24;A0A0A0MSX9	SYIC_HUMAN	IARS	Isoleucine--tRNA ligase, cytoplasmic	2.44848e+06	2.07776e+06	1.6062e+06	2.36427e+06	2.23992e+06	2.04104e+06	2.02646e+06	2.21643e+06	2.13079e+06	2.10257e+06	2.13888e+06	2.18267e+06
P41732	P41732;B4DDG0;B4E171	TSN7_HUMAN	TSPAN7	Tetraspanin-7	33571.6	48431.8	36448.2	46552.7	51970.6	37392.5	52812.1	49107.8	45336.4	41478	36888.8	37403.6
P41743	P41743	KPCI_HUMAN	PRKCI	Protein kinase C iota type	538048	687926	652531	683041	674409	679614	740335	521778	768585	744741	697584	532140
P42025	P42025	ACTY_HUMAN	ACTR1B	Beta-centractin	1.44705e+06	1.73291e+06	1.49596e+06	2.03771e+06	1.95053e+06	1.91244e+06	1.8787e+06	1.45899e+06	1.83888e+06	1.85267e+06	1.86821e+06	1.76943e+06
P42126	P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	161891	210835	144329	444482	395257	429207	520342	268781	427267	311526	339285	186170
P42166	P42166;P42167;H0YJH7;G5E972	LAP2A_HUMAN	TMPO	Lamina-associated polypeptide 2, isoform alpha	1.62972e+06	880803	1.61763e+06	971228	833594	817032	803910	1.53293e+06	777983	763653	889871	1.54856e+06
P42167	P42167;H0YJH7;G5E972	LAP2B_HUMAN	TMPO	Lamina-associated polypeptide 2, isoforms beta/gamma	169414	107564	165969	96077.1	95616.1	121513	104751	184272	106840	83166.9	120627	178025
P42224	P42224;J3KPM9	STAT1_HUMAN	STAT1	Signal transducer and activator of transcription 1-alpha/beta	1.06369e+06	2.01647e+06	1.05343e+06	1.85166e+06	1.77441e+06	1.7535e+06	1.7331e+06	959556	1.97222e+06	2.03285e+06	1.93309e+06	1.01948e+06
P42226	P42226;G3V2M3;G3V370;A0A494C0T4;Q5FBW6;H0YJH6;G3V2L2;G3V568;A0A1W2PNW1;G3V2H4;G3V5I8;G3V5K5	STAT6_HUMAN	STAT6	Signal transducer and activator of transcription 6	155935	212782	187775	211641	227542	217634	202429	186640	224189	208363	226248	228396
P42229	P42229;K7EK35;K7EIF9	STA5A_HUMAN	STAT5A	Signal transducer and activator of transcription 5A	37309.3	59015.2	42843	52345.6	44788.9	66532.9	54719.5	62196.1	63729.7	47352	40635.7	48876.7
P42285	P42285	MTREX_HUMAN	MTREX	Exosome RNA helicase MTR4	970049	668261	926142	670176	647992	650768	632100	1.0027e+06	645098	637654	620069	981640
P42330	P42330;A0A3B3IRI8;A0A0A0MSS8;S4R3Z2	AK1C3_HUMAN	AKR1C3	Aldo-keto reductase family 1 member C3	2.05389e+06	1.37863e+06	2.69324e+06	1.3469e+06	1.22098e+06	1.16012e+06	1.06493e+06	1.88704e+06	1.3081e+06	1.25769e+06	1.36905e+06	1.99852e+06
P42336	P42336;A0A2R8Y2F6	PK3CA_HUMAN	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	102394	71781.4	85437.2	56482.6	104242	67541.9	82174.8	101893	84197.2	101119	105255	105648
P42338	P42338;Q68DL0;H0Y871	PK3CB_HUMAN	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	24845	58530.2	30988.4	50856.4	51488.3	56751.1	44852.3	48129.9	56051.8	54431.4	33645.9	45434.1
P42345	P42345;B1AKP8	MTOR_HUMAN	MTOR	Serine/threonine-protein kinase mTOR	823387	899391	777297	864159	907490	885521	875848	882294	902517	895410	819809	840476
P42356	P42356	PI4KA_HUMAN	PI4KA	Phosphatidylinositol 4-kinase alpha	250892	250975	224580	250779	250175	259536	277049	291500	273379	272532	243245	261438
P42566	P42566;S4R3U1;B1AUU8	EPS15_HUMAN	EPS15	Epidermal growth factor receptor substrate 15	406237	405260	387158	418520	374723	406696	411662	339800	334959	382752	403325	408526
P42568	P42568;A0A0D9SF09;B1APT5	AF9_HUMAN	MLLT3	Protein AF-9	55985.3	33932.7	38882.7	49436.7	25970.5		22120.3	33245.2	30382.2	25161.8	31431.6	35275.3
P42574	P42574	CASP3_HUMAN	CASP3	Caspase-3	143078		129752									
P42575	P42575;A0A087WYM1;C9JRR9	CASP2_HUMAN	CASP2	Caspase-2	14874.9							17666.7	12187.7			
P42684	P42684	ABL2_HUMAN	ABL2	Tyrosine-protein kinase ABL2	33833.1	50278.8	35244.1	39036.8	56674.7	42077.7	52172.7	37815.2	46819.6	44132.9	53356.9	33856.6
P42685	P42685	FRK_HUMAN	FRK	Tyrosine-protein kinase FRK		111830	67264.2	93487.4	108028	106925	83513.8	102083	114525	109846	101576	114194
P42694	P42694;J3QS41;A0A075B6R3;J3QRR8	HELZ_HUMAN	HELZ	Probable helicase with zinc finger domain	42700.2	39461.1	48809.9	43340.5	38029.7	38410.9	50609	41943.6	43988.7		49734.1	43701.8
P42696	P42696	RBM34_HUMAN	RBM34	RNA-binding protein 34	361293	274451	329459	265570	264635	324267	294305	388561	282454	300791	295878	365590
P42704	P42704;C9JCA9;B8ZZ38;A0A0C4DG06	LPPRC_HUMAN	LRPPRC	Leucine-rich PPR motif-containing protein, mitochondrial	3.7907e+06	3.636e+06	3.83565e+06	3.66904e+06	3.59105e+06	3.37934e+06	3.23069e+06	3.43504e+06	3.45294e+06	3.41043e+06	3.42665e+06	3.49951e+06
P42765	P42765;A0A0B4J2A4	THIM_HUMAN	ACAA2	3-ketoacyl-CoA thiolase, mitochondrial	160068	220026	182287	324545	301439	317991	282290	186543	250217	256506	336557	206660
P42766	P42766;F2Z388	RL35_HUMAN	RPL35	60S ribosomal protein L35	2.49802e+06	2.04437e+06	2.332e+06	2.05357e+06	2.27133e+06	1.97443e+06	2.59934e+06	1.97581e+06	2.13607e+06	1.95267e+06	2.19424e+06	2.3508e+06
P42771	P42771;P42772;K7ENC6;J3QRG6;K7ES20	CDN2A_HUMAN	CDKN2A	Cyclin-dependent kinase inhibitor 2A	4.87747e+06	6.5817e+06	4.75642e+06	5.69576e+06	6.13854e+06	5.76547e+06	5.74964e+06	4.73173e+06	5.52273e+06	5.80004e+06	6.08154e+06	3.94086e+06
P42785	P42785;E9PNF7;E9PQB5;E9PL85;E9PQN3;E9PNJ1;E9PL49;E9PIG4;E9PKN6;E9PLY4	PCP_HUMAN	PRCP	Lysosomal Pro-X carboxypeptidase	2.47156e+06	2.79207e+06	2.03796e+06	2.97312e+06	3.14303e+06	3.75268e+06	3.29471e+06	2.69211e+06	2.7967e+06	2.91986e+06	2.83008e+06	2.84592e+06
P42858	P42858	HD_HUMAN	HTT	Huntingtin	512489	647885	534886	549182	583977	592229	578612	565195	590011	585822	657181	547344
P42892	P42892;A0A3B3ISF9;B4DKB2	ECE1_HUMAN	ECE1	Endothelin-converting enzyme 1	520489	558255	515194	701975	725920	766177	737086	427571	611340	622758	627402	513667
P42898	P42898;Q5SNW7;A0A286YFD0;L7P8G6;A0A286YF17	MTHR_HUMAN	MTHFR	Methylenetetrahydrofolate reductase				25144.3								
P43005	P43005;H0Y7R2	EAA3_HUMAN	SLC1A1	Excitatory amino acid transporter 3	272446	691665	291278	628689	519187	584149	517623	276239	642608	635418	631814	258585
P43007	P43007	SATT_HUMAN	SLC1A4	Neutral amino acid transporter A	69211.7	19445	66484.1	32261.6	41545.6	36029.4	32759.7	72353.1				65034.8
P43034	P43034;I3L3N5	LIS1_HUMAN	PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit alpha	3.67227e+06	4.2809e+06	3.78115e+06	4.46022e+06	4.35727e+06	4.02276e+06	4.10565e+06	3.71487e+06	4.14845e+06	4.20163e+06	4.13097e+06	3.64344e+06
P43121	P43121	MUC18_HUMAN	MCAM	Cell surface glycoprotein MUC18	697426	435374	821319	587864	659125	735297	616398	734058	513715	440244	558478	854076
P43155	P43155	CACP_HUMAN	CRAT	Carnitine O-acetyltransferase	166687	319896	171401	292371	271630	261585	251227	151887	315794	296814	316655	113926
P43243	P43243;A8MXP9;B3KM87;D6R991;D6REM6;H0Y8T4;D6RBI2;D6RE02;A0A0R4J2E8;D6RIA2;D6RBK5	MATR3_HUMAN	MATR3	Matrin-3	3.75898e+06	2.69457e+06	4.33315e+06	3.11304e+06	3.02533e+06	3.04935e+06	2.80645e+06	3.89524e+06	2.71049e+06	2.67909e+06	2.75518e+06	3.43601e+06
P43246	P43246;A0A2R8YG02;A0A2R8YFH0;E9PHA6;A0A2R8Y713;A0A2R8Y6P0	MSH2_HUMAN	MSH2	DNA mismatch repair protein Msh2	727436	391280	799841	415227	419661	462491	431324	759187	408586	419299	442383	882211
P43250	P43250;F8W9W2	GRK6_HUMAN	GRK6	G protein-coupled receptor kinase 6				19287.7		27261.4						
P43251	P43251	BTD_HUMAN	BTD	Biotinidase		222561		182751	201344	207107	237736	137293	199503	240273	217720	141555
P43304	P43304;F5GYK7	GPDM_HUMAN	GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial	712272	675947	616832	635179	686822	724355	716141	657464	607138	628573	648962	563342
P43307	P43307;A0A3B3IRT8;C9IZQ1;C9J5W0;C9J3L8;E9PAL7	SSRA_HUMAN	SSR1	Translocon-associated protein subunit alpha	586474	1.65359e+06	6.43606e+06	7.04548e+06	7.44744e+06	6.48122e+06	6.62512e+06	586770	6.31386e+06	7.04184e+06	6.91712e+06	6.78741e+06
P43378	P43378;A0A0A0MR09	PTN9_HUMAN	PTPN9	Tyrosine-protein phosphatase non-receptor type 9	274253	302134	97785.9	289995	276145	305872	276413	227150	278320	285050	283739	243854
P43405	P43405	KSYK_HUMAN	SYK	Tyrosine-protein kinase SYK	240167	176905	159249	114695	134101	128363	137334	174940	181939	161267	170506	190441
P43487	P43487;C9JJ34;F6WQW2;C9JDM3	RANG_HUMAN	RANBP1	Ran-specific GTPase-activating protein	1.52607e+06	3.40797e+06		2.57952e+06	3.37253e+06	2.50622e+06	2.73435e+06	4.12877e+06	2.76656e+06	2.79011e+06	2.72757e+06	3.74333e+06
P43490	P43490;A0A0C4DFS8	NAMPT_HUMAN	NAMPT	Nicotinamide phosphoribosyltransferase	1.52124e+06	1.52561e+06	1.55628e+06	1.52455e+06	1.39389e+06	1.40856e+06	1.39214e+06	1.54833e+06	1.65909e+06	1.5774e+06	1.38504e+06	1.64639e+06
P43632	P43632;A0A5F9ZHK4;A0A376A919;A0A0C4ZN30;A0A1W2PR63;A0A0G2JMV9;A0A1W2PQM1;A0A0G2JNE3	KI2S4_HUMAN	KIR2DS4	Killer cell immunoglobulin-like receptor 2DS4				96989.4			105305		72571.5			
P43686	P43686	PRS6B_HUMAN	PSMC4	26S proteasome regulatory subunit 6B	1.36405e+06	1.49071e+06	1.73149e+06	1.204e+06	1.23477e+06	1.14594e+06	1.11631e+06	1.17642e+06	1.06295e+06	1.02331e+06	1.08036e+06	1.05509e+06
P43897	P43897	EFTS_HUMAN	TSFM	Elongation factor Ts, mitochondrial	547263	762399	379507	689843	501950	519479	864186	583404	598931	416674	483181	503109
P45877	P45877	PPIC_HUMAN	PPIC	Peptidyl-prolyl cis-trans isomerase C	396347	210598		272871	240047	254720	242365	198064	233588	230148	237479	223963
P45880	P45880;A0A0A0MR02	VDAC2_HUMAN	VDAC2	Voltage-dependent anion-selective channel protein 2	703802	1.13137e+06	605964	1.39339e+06	1.20923e+06	1.29591e+06	1.18948e+06	727256	1.11246e+06	1.01282e+06	1.29487e+06	651462
P45954	P45954	ACDSB_HUMAN	ACADSB	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	430640	610779	536869	610966	624177	623304	574552	430923	543923	564306	623410	487122
P45973	P45973	CBX5_HUMAN	CBX5	Chromobox protein homolog 5	42615.5	18541.2	47527.6	28797.9	21692.6	26653.9	13714.6	53751.1				47879.4
P45974	P45974	UBP5_HUMAN	USP5	Ubiquitin carboxyl-terminal hydrolase 5	4.00015e+06	4.92804e+06	3.29436e+06	6.52001e+06	6.45387e+06	6.30443e+06	6.19262e+06	4.07058e+06	6.4183e+06	6.31317e+06	6.53207e+06	5.29255e+06
P45983	P45983;P53779;A0A286YEW9;A0A286YEX7;A0A286YFC0;A0A286YFA6;A0A286YEN5;A0A286YES0;A0A286YFN2;A0A286YFM6;A0A286YEY0;A0A286YF97;A0A286YF62;A0A286YF85;A0A286YFD7;A0A286YFB6;A0A286YES9;F8W9R5;A0A286YFJ4;A0A286YF19;A0A286YEV3;A0A286YEQ7;A0A286YFE2;A0A1W2PPZ3;A0A286YFJ6;A0A286YF35;A0A286YEV8;A0A1W2PRF2;D6RCB1;A0A286YEQ0;A0A286YFI3;A0A1P0B7D2;D6RJF9;A0A286YF83;A0A286YF02	MK08_HUMAN	MAPK8	Mitogen-activated protein kinase 8	80684.6	60787.8	77581.4	93185.4	96223.6	98229.2	102370	98349.2	95039.1	114416	82603.3	128963
P45984	P45984	MK09_HUMAN	MAPK9	Mitogen-activated protein kinase 9	382450	422957	398218	381915	368856	359915	393567	404514	471838	397774	359694	375265
P45985	P45985	MP2K4_HUMAN	MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4	114954	103440	106429	96826.3	122091	91204.1	91886.8	117990	116705	132518	84405.8	126260
P46013	P46013	KI67_HUMAN	MKI67	Proliferation marker protein Ki-67	739207		609718					762526				711004
P46019	P46019	KPB2_HUMAN	PHKA2	Phosphorylase b kinase regulatory subunit alpha, liver isoform	85571.1	87770.4	77874	87277.7	76751.5	59908.5	96820.4	91073.9	75360.1	104372	92309.3	90062.7
P46020	P46020;A6NMN0;A6NIT2	KPB1_HUMAN	PHKA1	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform			64085.2	57359.3	62450.2	54056.8	56775.8	62893.3	61243.5	42491.5	58907.3	61136.2
P46060	P46060	RAGP1_HUMAN	RANGAP1	Ran GTPase-activating protein 1	1.80722e+06	1.73248e+06	1.54282e+06	1.73691e+06	1.87167e+06	1.83883e+06	1.73422e+06	1.69668e+06	1.70375e+06	1.73487e+06	1.71959e+06	1.94486e+06
P46063	P46063	RECQ1_HUMAN	RECQL	ATP-dependent DNA helicase Q1	927259	919286	882627	865687	974025	911153	863322	913053	905282	905629	931402	968324
P46087	P46087	NOP2_HUMAN	NOP2	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase	1.67862e+06	1.71378e+06	2.25043e+06	1.597e+06	1.46045e+06	1.57547e+06	1.28562e+06	2.09828e+06	1.5386e+06	1.37088e+06	1.55279e+06	1.99542e+06
P46100	P46100;A0A096LNW1;A0A096LNL9	ATRX_HUMAN	ATRX	Transcriptional regulator ATRX	79344.7	94133	98331.1	98755	68305.9	72704.6	69947.2	92531.5	66057.7	63387.4	69420.8	96288.9
P46108	P46108	CRK_HUMAN	CRK	Adapter molecule crk	1.11784e+06	1.38281e+06	1.31256e+06	1.16362e+06	1.269e+06	1.30586e+06	1.19355e+06	1.12098e+06	1.28372e+06	1.27654e+06	1.30347e+06	1.07861e+06
P46109	P46109	CRKL_HUMAN	CRKL	Crk-like protein	1.31308e+06	1.29275e+06	1.24419e+06	1.29664e+06	1.27285e+06	1.19804e+06	1.18301e+06	1.35924e+06	1.38668e+06	1.33172e+06	1.28503e+06	1.24552e+06
P46199	P46199	IF2M_HUMAN	MTIF2	Translation initiation factor IF-2, mitochondrial	411496	526668	402289	535572	535770	497910	474908	434542	523548	510635	587973	452565
